@title,AOS
ﻣﺎ ﻛﺎﻧﺖ ﺷﺪة أﻟﻢ اﻟﻜﺎﺣﻞ ﻟﺪﯾﻚ:
1- ﻓﻲ أﺳﻮأ ﺣالاتها؟,10- بدون ألم,9,8,7,6,5,4,3,2,1,0- أسوأ ألم يمكن تخيله
2- ﻗﺒﻞ أن ﺗﺴﺘﯿﻘﻆ ﻓﻲ اﻟﺼﺒﺎح؟,10- بدون ألم,9,8,7,6,5,4,3,2,1,0- أسوأ ألم يمكن تخيله
3- ﻋﻨﺪﻣﺎ ﺗﻤﺸﻲ ﺣﺎﻓﻲ اﻟﻘﺪﻣﯿﻦ؟,10- بدون ألم,9,8,7,6,5,4,3,2,1,0- أسوأ ألم يمكن تخيله
4- ﻋﻨﺪﻣﺎ ﺗﻘﻒ ﺣﺎﻓﻲ اﻟﻘﺪﻣﯿﻦ؟,10- بدون ألم,9,8,7,6,5,4,3,2,1,0- أسوأ ألم يمكن تخيله
5- ﻋﻨﺪﻣﺎ ﺗﻤﺸﻲ ﻣﺮﺗﺪﯾًﺎ اﻷﺣﺬﯾﺔ؟,10- بدون ألم,9,8,7,6,5,4,3,2,1,0- أسوأ ألم يمكن تخيله
6- ﻋﻨﺪﻣﺎ ﺗﻘﻒ ﻣﺮﺗﺪﯾًﺎ اﻷﺣﺬﯾﺔ؟,10- بدون ألم,9,8,7,6,5,4,3,2,1,0- أسوأ ألم يمكن تخيله
7- ﻋﻨﺪﻣﺎ ﺗﻤﺸﻲ ﻣﺮﺗﺪﯾًﺎ اﻟﺪﻋﺎﻣﺎت أو اﻷﺣﺬﯾﺔ اﻟﻄﺒﯿﺔ؟,10- بدون ألم,9,8,7,6,5,4,3,2,1,0- أسوأ ألم يمكن تخيله
8- ﻋﻨﺪﻣﺎ ﺗﻘﻒ ﻣﺮﺗﺪﯾًﺎ اﻟﺪﻋﺎﻣﺎت أو اﻷﺣﺬﯾﺔ اﻟﻄﺒﯿﺔ؟,10- بدون ألم,9,8,7,6,5,4,3,2,1,0- أسوأ ألم يمكن تخيله
9- ﻓﻲ ﻧﮭﺎﯾﺔ اﻟﯿﻮم؟,10- بدون ألم,9,8,7,6,5,4,3,2,1,0- أسوأ ألم يمكن تخيله
ﻣﺎ ﻣﺪى اﻟﺼﻌﻮﺑﺔ اﻟﺘﻲ واﺟﮭﺘﮭﺎ:
1- اﻟﻤﺸﻲ ﺣﻮل اﻟﻤﻨﺰل؟,10- بدون صعوبة,9,8,7,6,5,4,3,2,1,0- ﺻﻌﻮﺑﺔ ﻛﺒﯿﺮة، ﻏﯿﺮ ﻗﺎدر
2- اﻟﻤﺸﻲ ﻓﻲ اﻟﺨﺎرج ﻋﻠﻰ أرض ﻏﯿﺮ ﻣﺴﺘﻮﯾﺔ؟,10- بدون صعوبة,9,8,7,6,5,4,3,2,1,0- ﺻﻌﻮﺑﺔ ﻛﺒﯿﺮة، ﻏﯿﺮ ﻗﺎدر
3- اﻟﻤﺸﻲ ﻷرﺑﻊ ﻛﺘﻞ أو أﻛﺜﺮ؟,10- بدون صعوبة,9,8,7,6,5,4,3,2,1,0- ﺻﻌﻮﺑﺔ ﻛﺒﯿﺮة، ﻏﯿﺮ ﻗﺎدر
4- ﺻﻌﻮد اﻟﺴﻼﻟﻢ؟,10- بدون صعوبة,9,8,7,6,5,4,3,2,1,0- ﺻﻌﻮﺑﺔ ﻛﺒﯿﺮة، ﻏﯿﺮ ﻗﺎدر
5- ﻧﺰول اﻟﺴﻼﻟﻢ؟,10- بدون صعوبة,9,8,7,6,5,4,3,2,1,0- ﺻﻌﻮﺑﺔ ﻛﺒﯿﺮة، ﻏﯿﺮ ﻗﺎدر
6- اﻟﻮﻗﻮف ﻋﻠﻰ أطﺮاف اﻷﺻﺎﺑﻊ؟,10- بدون صعوبة,9,8,7,6,5,4,3,2,1,0- ﺻﻌﻮﺑﺔ ﻛﺒﯿﺮة، ﻏﯿﺮ ﻗﺎدر
7- اﻟﻨﮭﻮض ﻣﻦ اﻟﻜﺮﺳﻲ؟,10- بدون صعوبة,9,8,7,6,5,4,3,2,1,0- ﺻﻌﻮﺑﺔ ﻛﺒﯿﺮة، ﻏﯿﺮ ﻗﺎدر
8- اﻟﺼﻌﻮد أو اﻟﻨﺰول ﻣﻦ اﻷرﺻﻔﺔ؟,10- بدون صعوبة,9,8,7,6,5,4,3,2,1,0- ﺻﻌﻮﺑﺔ ﻛﺒﯿﺮة، ﻏﯿﺮ ﻗﺎدر
9- اﻟﻤﺸﻲ اﻟﺴﺮﯾﻊ أو اﻟﺠﺮي؟,10- بدون صعوبة,9,8,7,6,5,4,3,2,1,0- ﺻﻌﻮﺑﺔ ﻛﺒﯿﺮة، ﻏﯿﺮ ﻗﺎدر
